etf_code,exchange,fund_name,tracked_index_code,tracked_index_name,scale_cny_100m,industry_code,dominant_industry_weight,classified_weight_coverage,component_count,weight_date,industry_name,mapping_status,mapping_confidence,mapping_source
530060,SSE,上证指数ETF易方达,000001,上证综合指数,3.0803,801081,0.14234572962811115,0.9989800305990821,2217.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
530080,SSE,上证180ETF天弘,000010,上证180指数,0.3837,801081,0.2155464663939918,1.0,180.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
530100,SSE,上证580ETF易方达,950580,上证580指数,1.4599,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
530180,SSE,上证180ETF易方达,000010,上证180指数,0.7802,801081,0.2155464663939918,1.0,180.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
530280,SSE,上证180ETF平安,000010,上证180指数,0.3517,801081,0.2155464663939918,1.0,180.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
530300,SSE,上证180ETF华泰柏瑞,000010,上证180指数,0.4928,801081,0.2155464663939918,1.0,180.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
530380,SSE,上证380ETF易方达,000009,上证380指数,1.6959,801081,0.19894403167904962,1.0,380.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
530530,SSE,上证580ETF华夏,950580,上证580指数,1.5929,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
530580,SSE,上证180ETF南方,000010,上证180指数,0.735,801081,0.2155464663939918,1.0,180.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
530680,SSE,上证180ETF兴业,000010,上证180指数,1.4101,801081,0.2155464663939918,1.0,180.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
530800,SSE,上证180ETF银华,000010,上证180指数,0.2241,801081,0.2155464663939918,1.0,180.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
530880,SSE,红利国企ETF银河,000151,上证国有企业红利指数,0.4874,801951,0.39187000000000005,1.0,30.0,20260630,煤炭开采,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560010,SSE,中证1000ETF广发,000852,中证1000指数,55.1011,801081,0.10975536575120518,1.0,1000.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560020,SSE,红利ETF汇添富,000922,中证红利指数,1.3656,801951,0.1809054271628149,1.0,100.0,20260630,煤炭开采,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560030,SSE,800价值ETF汇添富,H30356,中证800价值指数,0.2896,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560060,SSE,碳中和ETF汇添富,931755,中证上海环交所碳中和指数,0.7038,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560070,SSE,央企红利ETF汇添富,932039,中证国新央企股东回报指数,1.2171,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560080,SSE,中药ETF汇添富,930641,中证中药指数,24.5603,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560090,SSE,证券ETF汇添富,399975,中证全指证券公司指数,27.4025,801193,1.0000000000000002,1.0,49.0,20260630,证券Ⅱ,high_confidence_component_exposure,high,official_csi_closeweight+official_sws_stock_classification
560110,SSE,中证1000ETF汇添富,000852,中证1000指数,2.7864,801081,0.10975536575120518,1.0,1000.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560120,SSE,中证500现金流ETF华夏,932367,中证500自由现金流指数,6.6472,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560130,SSE,食品ETF鹏华,H30192,中证全指食品指数,0.6273,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560150,SSE,红利低波ETF泰康,H30269,中证红利低波动指数,7.3013,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560160,SSE,食品ETF易方达,H30192,中证全指食品指数,1.0422,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560170,SSE,央企科技ETF南方,932038,中证国新央企科技引领指数,3.5065,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560180,SSE,沪深300ESGETF南方,931463,沪深300ESG基准指数,0.1919,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560190,SSE,公用事业ETF鹏华,000995,中证全指公用事业指数,0.1876,801161,0.9157391573915739,1.0,50.0,20260630,电力,high_confidence_component_exposure,high,official_csi_closeweight+official_sws_stock_classification
560210,SSE,农牧渔ETF景顺,930910,中证全指农牧渔指数,4.1831,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560220,SSE,中证2000ETF广发,932000,中证2000指数,0.722,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560230,SSE,光伏ETF富国,931151,中证光伏产业指数,0.7299,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560250,SSE,红利质量ETF富国,932315,中证全指红利质量指数,2.5844,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560260,SSE,医疗ETF广发,399989,中证医疗指数,14.9831,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560270,SSE,电力ETF工银,H30199,中证全指电力公用事业指数,1.7597,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560280,SSE,工程机械ETF广发,931752,中证工程机械主题指数,30.5244,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560290,SSE,有色ETF景顺,931892,中证有色金属矿业主题指数,2.7221,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560300,SSE,电信ETF汇添富,931235,中证电信主题指数,0.7159,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560310,SSE,光伏ETF博时,931151,中证光伏产业指数,1.4734,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560320,SSE,食品ETF富国,H30192,中证全指食品指数,1.3438,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560330,SSE,沪深300价值ETF申万菱信,000919,沪深300价值指数,0.2004,801783,0.14931552053438396,1.0,100.0,20260630,股份制银行Ⅱ,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560350,SSE,中证A50ETF摩根,930050,中证A50指数,11.1048,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560360,SSE,软件ETF万家,930601,中证软件服务指数,2.551,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560370,SSE,红利质量ETF易方达,932315,中证全指红利质量指数,1.0099,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560380,SSE,A100ETF南方,000903,中证100指数,1.8788,801081,0.16999,1.0,100.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560400,SSE,证券ETF华泰柏瑞,399975,中证全指证券公司指数,1.8705,801193,1.0000000000000002,1.0,49.0,20260630,证券Ⅱ,high_confidence_component_exposure,high,official_csi_closeweight+official_sws_stock_classification
560410,SSE,电池ETF鹏华,931719,中证电池主题指数,0.5588,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560420,SSE,食品ETF前海开源,H30192,中证全指食品指数,1.3299,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560450,SSE,电力ETF天弘,H30199,中证全指电力公用事业指数,2.7275,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560460,SSE,电力ETF平安,H30199,中证全指电力公用事业指数,2.8351,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560470,SSE,有色ETF易方达,000811,中证细分有色金属产业主题指数,2.4973,801055,0.4863856807159642,1.0,50.0,20260630,工业金属,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560480,SSE,电力ETF招商,H30199,中证全指电力公用事业指数,1.2699,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560490,SSE,工业有色ETF华泰柏瑞,H11059,中证工业有色金属主题指数,1.1666,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560500,SSE,500质量成长ETF鹏扬,930939,中证500质量成长指数,4.1318,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560510,SSE,中证A500ETF泰康,000510,中证A500指数,31.162,801081,0.15436617464698588,1.0,500.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560520,SSE,红利低波100ETF大成,930955,中证红利低波动100指数,0.3557,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560530,SSE,中证A500ETF摩根,000510,中证A500指数,29.6336,801081,0.15436617464698588,1.0,500.0,20260630,半导体,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560550,SSE,碳中和ETF广发,931755,中证上海环交所碳中和指数,1.2122,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560560,SSE,碳中和ETF泰康,000977,中证内地低碳经济主题指数,0.5083,801737,0.3802261977380227,1.0,50.0,20260630,电池,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560570,SSE,A500红利ETF国联安,932422,中证A500红利低波动指数,13.776,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
560580,SSE,电力ETF南方,H30199,中证全指电力公用事业指数,4.6204,,,,,,,insufficient_component_exposure,none,official_csi_closeweight+official_sws_stock_classification
